City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,zhuhai,100,CN,1572980361,80,40.71,112.04,33.8,4.47
1,coutances,20,FR,1572980888,87,49.05,-1.45,54.0,12.75
2,zheleznodorozhnyy,75,RU,1572980820,76,55.75,38.0,54.0,13.42
3,ushuaia,75,AR,1572980305,86,-54.81,-68.31,44.6,21.92
4,qaanaaq,49,GL,1572980305,63,77.48,-69.36,4.41,9.48
5,albany,90,US,1572980079,58,42.65,-73.75,55.99,10.29
6,mataura,51,NZ,1572980889,95,-46.19,168.86,48.99,2.1
7,provideniya,0,RU,1572980889,86,64.42,-173.23,16.81,7.67
8,east london,72,ZA,1572980889,94,-33.02,27.91,69.8,8.05
9,xiamen,0,CN,1572980889,45,24.46,118.07,68.0,13.42
10,norman wells,75,CA,1572980890,92,65.28,-126.83,10.4,5.82
11,marienburg,75,DE,1572980890,93,52.12,9.98,51.01,6.93
12,pevek,90,RU,1572980890,80,69.7,170.27,12.07,2.91
13,kaitangata,8,NZ,1572980890,93,-46.28,169.85,51.01,4.21
14,bredasdorp,0,ZA,1572980867,59,-34.53,20.04,66.2,13.87
15,sitka,0,US,1572980890,43,37.17,-99.65,54.0,10.0
16,hobart,40,AU,1572980690,62,-42.88,147.33,52.0,10.29
17,airai,33,TL,1572980891,73,-8.93,125.41,65.62,2.71
18,rikitea,42,PF,1572980891,84,-23.12,-134.97,75.51,7.05
19,parintins,75,BR,1572980891,38,-2.63,-56.73,97.21,6.15
20,hilo,1,US,1572980891,65,19.71,-155.08,80.01,5.82
21,butaritari,29,KI,1572980300,75,3.07,172.79,83.97,12.59
22,castro,75,CL,1572980303,71,-42.48,-73.76,53.6,12.75
23,severo-kurilsk,85,RU,1572980344,89,50.68,156.12,33.98,18.1
24,geraldton,75,CA,1572980318,57,49.72,-86.95,17.6,11.41
25,avarua,100,CK,1572980892,83,-21.21,-159.78,71.6,3.36
26,cape town,20,ZA,1572980050,82,-33.93,18.42,66.0,14.99
27,kyzyl-suu,97,KG,1572980892,75,42.34,78.0,37.96,9.28
28,mar del plata,100,AR,1572980325,22,-46.43,-67.52,71.13,34.65
29,busselton,94,AU,1572980893,66,-33.64,115.35,48.0,9.82
30,saskylakh,79,RU,1572980010,97,71.97,114.09,-8.43,4.29
31,gull lake,90,CA,1572980893,92,50.1,-108.48,30.2,12.75
32,turayf,0,SA,1572980893,52,31.68,38.65,66.2,11.41
33,new norfolk,40,AU,1572980893,62,-42.78,147.06,52.0,10.29
34,ilhabela,12,BR,1572980334,75,-23.78,-45.36,82.24,4.25
35,havelock,1,US,1572980811,73,34.88,-76.9,73.99,6.93
36,dongying,36,CN,1572980894,61,37.43,118.67,50.67,4.54
37,chapais,75,CA,1572980305,80,49.78,-74.86,35.6,6.93
38,los llanos de aridane,20,ES,1572980374,78,28.66,-17.92,71.6,14.99
39,necochea,0,AR,1572980894,61,-38.55,-58.74,62.01,8.01
40,upernavik,100,GL,1572980304,65,72.79,-56.15,15.67,4.52
41,maraba,75,BR,1572980828,39,-5.35,-49.1,98.6,8.05
42,wanaka,100,NZ,1572980895,99,-44.7,169.14,43.65,1.39
43,tiarei,40,PF,1572980895,74,-17.53,-149.33,84.2,10.29
44,cherskiy,41,RU,1572980329,76,68.75,161.3,10.02,5.93
45,bathsheba,75,BB,1572980345,70,13.22,-59.52,86.0,21.92
46,yellowknife,75,CA,1572980103,72,62.45,-114.38,12.2,9.17
47,poya,77,NC,1572980895,78,-21.35,165.16,72.14,5.7
48,kruisfontein,93,ZA,1572980320,57,-34.0,24.73,62.71,1.95
49,port alfred,62,ZA,1572980324,92,-33.59,26.89,68.0,1.01
50,tiksi,97,RU,1572980324,98,71.64,128.87,-9.1,1.7
51,sao joao da barra,5,BR,1572980364,44,-21.64,-41.05,93.2,16.11
52,seoul,40,KR,1572980804,100,37.57,126.98,46.4,2.24
53,belaya gora,97,RU,1572980896,97,68.54,146.19,-1.59,2.53
54,camacha,75,PT,1572980896,63,33.08,-16.33,68.0,13.87
55,puerto ayora,75,EC,1572980337,69,-0.74,-90.35,77.0,9.17
56,amapa,75,HN,1572980897,74,15.09,-87.97,82.4,13.87
57,atuona,29,PF,1572980307,75,-9.8,-139.03,80.47,23.29
58,gambela,46,ET,1572980897,93,8.25,34.59,72.21,5.01
59,nizhniy tsasuchey,87,RU,1572980897,45,50.52,115.13,20.82,2.46
60,hermanus,8,ZA,1572980303,82,-34.42,19.24,64.99,1.01
61,ponta do sol,59,BR,1572980379,57,-20.63,-46.0,84.97,3.0
62,narsaq,75,GL,1572980898,33,60.91,-46.05,42.8,12.75
63,bintulu,75,MY,1572980898,94,3.17,113.03,75.2,1.9
64,san joaquin,74,PH,1572980898,90,10.59,122.14,77.09,6.17
65,klaksvik,99,FO,1572980333,74,62.23,-6.59,33.8,6.93
66,san quintin,100,PH,1572980307,95,17.54,120.52,71.96,5.28
67,longyearbyen,75,NO,1572980321,72,78.22,15.63,10.4,4.7
68,chernyshevskiy,5,RU,1572980899,93,63.01,112.47,-10.88,1.77
69,punta arenas,75,CL,1572980306,86,-53.16,-70.91,44.6,23.04
70,asyut,62,EG,1572980899,40,27.18,31.19,71.6,11.41
71,sioux lookout,90,CA,1572980095,61,50.1,-91.92,17.6,16.11
72,kampong thum,98,KH,1572980899,86,12.71,104.89,75.4,2.66
73,awbari,0,LY,1572980394,20,26.59,12.77,78.51,9.28
74,saint-philippe,90,CA,1572980306,87,45.36,-73.48,48.99,11.41
75,college,1,US,1572980317,84,64.86,-147.8,21.2,3.36
76,kavieng,100,PG,1572980330,83,-2.57,150.8,80.71,14.29
77,nikolskoye,75,RU,1572980369,86,59.7,30.79,35.01,11.18
78,bethel,90,US,1572980305,92,60.79,-161.76,26.6,27.16
79,walvis bay,73,NA,1572980318,60,-22.95,14.51,68.0,1.12
80,aswan,100,EG,1572980900,18,24.09,32.9,79.05,12.59
81,luderitz,82,NA,1572980315,56,-26.65,15.16,68.0,13.87
82,ambovombe,97,MG,1572980901,83,-25.18,46.09,70.34,13.27
83,dikson,100,RU,1572980319,85,73.51,80.55,1.71,13.87
84,kiama,3,AU,1572980312,87,-34.67,150.86,52.0,9.17
85,torbay,40,CA,1572980313,52,47.66,-52.73,46.99,9.17
86,kutum,0,SD,1572980902,17,14.2,24.66,76.08,4.76
87,vaini,99,IN,1572980308,92,15.34,74.49,70.29,0.2
88,hithadhoo,89,MV,1572980307,72,-0.6,73.08,82.27,6.35
89,timbiqui,72,CO,1572980904,90,2.77,-77.67,80.02,6.33
90,slave lake,75,CA,1572980904,72,55.28,-114.77,17.6,8.05
91,sambava,87,MG,1572980904,92,-14.27,50.17,71.15,2.73
92,verkhniy rohachyk,4,UA,1572980904,85,47.25,34.34,55.62,8.77
